"","index","recnoise","meanpeaks","varprey","meanPeriod","sdperiod","count0peaks"
"73","73",0.0808507552212542,0.65,NA,12.9830952380952,0.0300564373461961,7
"74","74",0.454638860422846,0.55,NA,13.5,0.0249571417124249,9
"75","75",-0.28141790310735,0.8,NA,12.5690476190476,0.031492302664357,4
"76","76",-0.968527685369756,0.65,NA,11.9358333333333,0.00209426954145836,7
"77","77",-0.753631904729772,0.7,NA,12.1008333333333,0.0318645708772766,6
"78","78",-0.734629075872903,0.7,NA,12.1308333333333,0.00391801954984667,6
"79","79",-1.2658106914981,0.6,NA,11.725625,0.0292846922769283,8
"80","80",0.175808084439602,0.75,NA,13.1419047619048,0.00293136672024329,5
"81","81",-0.998549506637062,0.65,NA,11.9010416666667,0.0322713221141333,7
"82","82",-0.0477858002816901,0.5,NA,12.7907142857143,0.00699086407042273,10
"83","83",0.564272634987534,0.7,NA,13.6815934065934,0.030538827933753,6
