"","rowname","phi1","phi2","ve","sigma2","rho","phi3","phi4","phi5","tslength","approach","maxE","iter"
"14","10yrs10ages",0.147898747121982,0.0662568843064731,0.01,3.59254755624015,0.996832036112859,0.00300032018910501,NA,NA,10,"hier",3,4
"15","20yrs5ages",0.104012898598638,0.110576108629929,0.01,1.43289534438043,0.998209544229434,0.00242296177930116,0.234519822556344,NA,20,"hier",4,4
"16","25yrs4ages",0.100651994760256,0.0141441602506312,0.01,2.96742551191312,0.999699606551275,0.00834417817269139,6.46532616233507e-17,0.0262343954706886,25,"hier",5,4
"17","5yrs20ages",0.216146070520565,0.295688532017703,0.01,1.75250445723719,0.938252855355037,NA,NA,NA,5,"hier",2,5
"18","10yrs10ages",0.159677913599878,0.0750601825320832,0.01,3.29078482293916,0.993080069001647,4.0477809110072e-62,NA,NA,10,"hier",3,5
"19","20yrs5ages",0.149248763237248,0.0891984447791606,0.01,1.18033164597955,0.999132374921352,0.0648768726719135,0.338595394849204,NA,20,"hier",4,5
"20","25yrs4ages",0.1108915593955,0.0182172341431037,0.01,2.88504015418714,0.999602827787598,0.00883926615185875,5.23797211810231e-17,0.0274100825582441,25,"hier",5,5
"21","5yrs20ages",1.14100841038014,0.233045124904779,0.0221619324047213,1.3329476721667,0.98569859721282,NA,NA,NA,5,"hier",2,6
"22","10yrs10ages",0.351487899913957,0.140393803260165,0.01,2.63723241220545,0.997832789897692,0.00632698101969954,NA,NA,10,"hier",3,6
"23","20yrs5ages",0.167826050002382,0.136197586856431,0.01,1.06705949763993,0.998681051292833,0.0236239515980429,0.198034847227562,NA,20,"hier",4,6
"24","25yrs4ages",0.10638442611897,0.01942558533903,0.01,2.90734002983378,0.999694766570403,0.00540039432581147,1.51487410279902e-12,0.0295242769525183,25,"hier",5,6
"25","5yrs20ages",0.154215050505061,0.427203915259073,0.010000000000001,2.40979671402716,0.967744146526287,NA,NA,NA,5,"hier",2,7
"26","10yrs10ages",0.13102162576038,0.0840752055748369,0.01,3.23684502149342,0.992219533652276,3.54727646146673e-12,NA,NA,10,"hier",3,7
"27","20yrs5ages",0.146269240259168,0.10795802066171,0.01,1.08991946704296,0.9990343587921,0.0674117396129371,0.282074565983858,NA,20,"hier",4,7
"28","25yrs4ages",0.0977398570298199,0.015059601370222,0.01,2.91455245753025,0.99960876806438,0.00971200547436718,3.58990621556741e-11,0.0288705943616336,25,"hier",5,7
"29","5yrs20ages",0.14761569075178,0.218553115496176,0.01,1.88200323080833,0.93132782792398,NA,NA,NA,5,"hier",2,8
"30","10yrs10ages",0.447122580986251,0.146614392852137,0.01,2.38484480534637,0.99787653842817,0.0116977706072389,NA,NA,10,"hier",3,8
"31","20yrs5ages",0.19258131265496,0.13016153618581,0.01,1.04787710472674,0.998835213299836,0.0381298038887102,0.184905424378783,NA,20,"hier",4,8
"32","25yrs4ages",0.11312473099347,0.0204871321399624,0.01,2.88237749808537,0.999675086193574,0.00578403421607876,8.86607343426105e-17,0.0294776745612269,25,"hier",5,8
"33","5yrs20ages",0.12974126335742,0.21583918083806,0.01,1.91331637429489,0.925369692673591,NA,NA,NA,5,"hier",2,9
"34","10yrs10ages",0.126100849171432,0.0931669691413796,0.01,3.43731728375219,0.99398383312684,5.62207180527336e-256,NA,NA,10,"hier",3,9
"35","20yrs5ages",0.197695522905027,0.126774068051198,0.01,1.05846630529962,0.99889706229355,0.0438437024712299,0.186014647169508,NA,20,"hier",4,9
"36","25yrs4ages",0.115919611998649,0.0201134914319548,0.01,2.85681891438114,0.999662427032337,0.00699352876188917,1.46134540668237e-52,0.0289187323624958,25,"hier",5,9
"37","5yrs20ages",0.125924711481788,0.438808776777041,0.01,2.49007781931405,0.963533483806079,NA,NA,NA,5,"hier",2,10
"38","10yrs10ages",0.111171077544671,0.0936427715396407,0.01,3.3359490630564,0.991993764031389,2.3680553833744e-16,NA,NA,10,"hier",3,10
"39","20yrs5ages",0.135295021120285,0.109673092421532,0.01,1.05775950352202,0.998952841107792,0.0637471775976013,0.306839942872779,NA,20,"hier",4,10
"40","25yrs4ages",0.0945875064065783,0.0131215882064011,0.01,2.9304409611513,0.999620271752134,0.011200919950588,1.71040401923489e-08,0.0293306149893829,25,"hier",5,10
"41","5yrs20ages",0.701825060357586,0.871364726533057,0.0134601446674581,1.38150867082298,0.968601737359186,NA,NA,NA,5,"hier",2,11
