"","iter","mean","sd","mean_dyrho","sd_dyrho","sim"
"165","65",0.475,0.5,0.475,0.00712064457635091,"II"
"166","66",0.475,0.5,0.475,0.00377589565372963,"II"
"167","67",0.475,0.5,0.475,0.00645336909663931,"II"
"168","68",0.475,0.5,0.475,0.00923284578385707,"II"
"169","69",0.475,0.5,0.475,0.00834844408922728,"II"
"170","70",0.475,0.5,0.475,0.00878260193355096,"II"
"171","71",0.475,0.5,0.475,0.00537276510783325,"II"
"172","72",0.475,0.5,0.475,0.00708146864370541,"II"
"173","73",0.475,0.5,0.475,0.00668147497845093,"II"
"174","74",0.475,0.5,0.475,0.00468508480622616,"II"
"175","75",0.475,0.5,0.475,0.00656667644349522,"II"
"176","76",0.475,0.5,0.475,0.00675175792569187,"II"
"177","77",0.475,0.5,0.475,0.00825450344651797,"II"
"178","78",0.475,0.5,0.475,0.00728004009301174,"II"
"179","79",0.475,0.5,0.475,0.00708918480550684,"II"
"180","80",0.475,0.5,0.475,0.00631339464145558,"II"
"181","81",0.475,0.5,0.475,0.00699417397893046,"II"
"182","82",0.475,0.5,0.475,0.0033040560721461,"II"
"183","83",0.475,0.5,0.475,0.007899894152866,"II"
"184","84",0.475,0.5,0.475,0.00662992181307699,"II"
"185","85",0.475,0.5,0.475,0.0070932419370014,"II"
"186","86",0.475,0.5,0.475,0.00924564458171924,"II"
"187","87",0.475,0.5,0.475,0.00557230852452005,"II"
"188","88",0.475,0.5,0.475,0.00715211631097414,"II"
"189","89",0.475,0.5,0.475,0.00577201269124996,"II"
"190","90",0.475,0.5,0.475,0.00925880179535685,"II"
"191","91",0.475,0.5,0.475,0.00678308120535225,"II"
"192","92",0.475,0.5,0.475,0.00786041522952369,"II"
"193","93",0.475,0.5,0.475,0.00698795384060136,"II"
"194","94",0.475,0.5,0.475,0.00378463333660271,"II"
"195","95",0.475,0.5,0.475,0.00709334737921595,"II"
"196","96",0.475,0.5,0.475,0.00372883743045506,"II"
"197","97",0.475,0.5,0.475,0.00702186029838893,"II"
"198","98",0.475,0.5,0.475,0.00540253591080367,"II"
"199","99",0.475,0.5,0.475,0.00403611144289183,"II"
"200","100",0.475,0.5,0.475,0.00493908108342862,"II"
"201","1",0.475,0.5,0.475,0.00411075283546042,"III"
"202","2",0.475,0.5,0.475,0.00717547669546226,"III"
"203","3",0.475,0.5,0.475,0.00927462108329797,"III"
"204","4",0.475,0.5,0.475,0.00847559759959998,"III"
"205","5",0.475,0.5,0.475,0.00527400674933954,"III"
"206","6",0.475,0.5,0.475,0.00656251938053663,"III"
"207","7",0.475,0.5,0.475,0.00595560475304039,"III"
"208","8",0.475,0.5,0.475,0.00662002465777665,"III"
"209","9",0.475,0.5,0.475,0.00691143692370609,"III"
"210","10",0.475,0.5,0.475,0.00887896771211667,"III"
"211","11",0.475,0.5,0.475,0.00472404070332432,"III"
"212","12",0.475,0.5,0.475,0.00648887263034539,"III"
"213","13",0.475,0.5,0.475,0.00709644049761888,"III"
"214","14",0.475,0.5,0.475,0.00677465618945916,"III"
"215","15",0.475,0.5,0.475,0.00676554866817558,"III"
"216","16",0.475,0.5,0.475,0.0072297131212138,"III"
"217","17",0.475,0.5,0.475,0.00699549509331087,"III"
"218","18",0.475,0.5,0.475,0.00658633058445425,"III"
"219","19",0.475,0.5,0.475,0.00691216783982885,"III"
"220","20",0.475,0.5,0.475,0.00789449146621809,"III"
"221","21",0.475,0.5,0.475,0.00719978832730222,"III"
"222","22",0.475,0.5,0.475,0.00927642936414801,"III"
"223","23",0.475,0.5,0.475,0.00705295864687091,"III"
"224","24",0.475,0.5,0.475,0.00587985168078872,"III"
"225","25",0.475,0.5,0.475,0.00673467123409589,"III"
"226","26",0.475,0.5,0.475,0.00584672177519637,"III"
"227","27",0.475,0.5,0.475,0.00701129877828942,"III"
"228","28",0.475,0.5,0.475,0.0086558579023787,"III"
"229","29",0.475,0.5,0.475,0.00700703397424649,"III"
"230","30",0.475,0.5,0.475,0.00646445735828639,"III"
"231","31",0.475,0.5,0.475,0.00724087407057803,"III"
"232","32",0.475,0.5,0.475,0.00923022025036976,"III"
"233","33",0.475,0.5,0.475,0.00700384040494623,"III"
"234","34",0.475,0.5,0.475,0.00916586603774756,"III"
"235","35",0.475,0.5,0.475,0.00661888841844407,"III"
"236","36",0.475,0.5,0.475,0.00668066084365645,"III"
"237","37",0.475,0.5,0.475,0.00700782513168098,"III"
"238","38",0.475,0.5,0.475,0.0070634735832011,"III"
"239","39",0.475,0.5,0.475,0.0066213858062192,"III"
"240","40",0.475,0.5,0.475,0.0070991224113205,"III"
"241","41",0.475,0.5,0.475,0.00670628461897851,"III"
"242","42",0.475,0.5,0.475,0.00910076743094626,"III"
"243","43",0.475,0.5,0.475,0.00834160673737566,"III"
"244","44",0.475,0.5,0.475,0.00711862714910275,"III"
"245","45",0.475,0.5,0.475,0.00710017322226431,"III"
"246","46",0.475,0.5,0.475,0.0070969138558296,"III"
"247","47",0.475,0.5,0.475,0.00809279320604489,"III"
"248","48",0.475,0.5,0.475,0.00335311804609718,"III"
"249","49",0.475,0.5,0.475,0.00922808904788371,"III"
"250","50",0.475,0.5,0.475,0.00490171205235138,"III"
"251","51",0.475,0.5,0.475,0.00735278952111206,"III"
"252","52",0.475,0.5,0.475,0.00618160750973745,"III"
"253","53",0.475,0.5,0.475,0.00695601253675461,"III"
"254","54",0.475,0.5,0.475,0.00704616044250876,"III"
"255","55",0.475,0.5,0.475,0.00724648200409603,"III"
"256","56",0.475,0.5,0.475,0.0050585019732778,"III"
"257","57",0.475,0.5,0.475,0.00788661746427997,"III"
"258","58",0.475,0.5,0.475,0.00684259723880684,"III"
"259","59",0.475,0.5,0.475,0.00459767715191694,"III"
"260","60",0.475,0.5,0.475,0.00651854575449593,"III"
"261","61",0.475,0.5,0.475,0.00787497773165797,"III"
"262","62",0.475,0.5,0.475,0.00921331670400986,"III"
"263","63",0.475,0.5,0.475,0.00717263753008466,"III"
"264","64",0.475,0.5,0.475,0.00875911022325926,"III"
"265","65",0.475,0.5,0.475,0.00712064457635091,"III"
"266","66",0.475,0.5,0.475,0.00377589565372963,"III"
"267","67",0.475,0.5,0.475,0.00645336909663931,"III"
"268","68",0.475,0.5,0.475,0.00923284578385707,"III"
"269","69",0.475,0.5,0.475,0.00834844408922728,"III"
"270","70",0.475,0.5,0.475,0.00878260193355096,"III"
"271","71",0.475,0.5,0.475,0.00537276510783325,"III"
"272","72",0.475,0.5,0.475,0.00708146864370541,"III"
"273","73",0.475,0.5,0.475,0.00668147497845093,"III"
"274","74",0.475,0.5,0.475,0.00468508480622616,"III"
"275","75",0.475,0.5,0.475,0.00656667644349522,"III"
"276","76",0.475,0.5,0.475,0.00675175792569187,"III"
"277","77",0.475,0.5,0.475,0.00825450344651797,"III"
"278","78",0.475,0.5,0.475,0.00728004009301174,"III"
"279","79",0.475,0.5,0.475,0.00708918480550684,"III"
"280","80",0.475,0.5,0.475,0.00631339464145558,"III"
"281","81",0.475,0.5,0.475,0.00699417397893046,"III"
"282","82",0.475,0.5,0.475,0.0033040560721461,"III"
"283","83",0.475,0.5,0.475,0.007899894152866,"III"
"284","84",0.475,0.5,0.475,0.00662992181307699,"III"
"285","85",0.475,0.5,0.475,0.0070932419370014,"III"
"286","86",0.475,0.5,0.475,0.00924564458171924,"III"
"287","87",0.475,0.5,0.475,0.00557230852452005,"III"
"288","88",0.475,0.5,0.475,0.00715211631097414,"III"
"289","89",0.475,0.5,0.475,0.00577201269124996,"III"
"290","90",0.475,0.5,0.475,0.00925880179535685,"III"
"291","91",0.475,0.5,0.475,0.00678308120535225,"III"
"292","92",0.475,0.5,0.475,0.00786041522952369,"III"
"293","93",0.475,0.5,0.475,0.00698795384060136,"III"
"294","94",0.475,0.5,0.475,0.00378463333660271,"III"
"295","95",0.475,0.5,0.475,0.00709334737921595,"III"
"296","96",0.475,0.5,0.475,0.00372883743045506,"III"
"297","97",0.475,0.5,0.475,0.00702186029838893,"III"
"298","98",0.475,0.5,0.475,0.00540253591080367,"III"
"299","99",0.475,0.5,0.475,0.00403611144289183,"III"
"300","100",0.475,0.5,0.475,0.00493908108342862,"III"
