"","age","OOS_R2","OOS_rmse","R2","rmse","model","ln_post","lnL_LOO","df","age class","rho","species"
"38","2",0.758173168962157,0.492345491652071,0.998446765523241,0.0394581058985926,"KRFC_mixedAge",-12.2192452356602,8.90592236173967,21.7461308565768,"3",NA,NA
"39","3",0.69724818639403,0.486315462588888,0.877265889384974,0.309640201619369,"KRFC_mixedAge",-5.58968320355102,5.04576790427891,5.91715781825182,"4",NA,NA
"40","4",0.118909576433334,0.894647085075956,0.823617229572159,0.400285253164578,"KRFC_mixedAge",-17.0313658210949,-9.21293084826403,13.0174338743146,"5",NA,NA
"41","1",0.554962172626834,0.727603129116516,0.996283024414339,0.0664952998882971,"SB_mixedAge",-12.9072947346724,5.2807349410001,17.436472330951,"X1",NA,NA
"42","2",0.693628472691495,0.540838485917345,0.998212901552629,0.0413064266260819,"SB_mixedAge",-7.98918414089239,13.9445637667594,17.9071019782433,"X2",NA,NA
"43","3",0.863910094739386,0.340169285765663,0.962816100748994,0.177811402341379,"SB_mixedAge",-7.50198763187789,10.410527014913,11.7818543768677,"X3",NA,NA
"44","4",0.727068716218283,0.533296766705284,0.998386402132726,0.0410052956221558,"SB_mixedAge",-7.97210995385774,13.1616494857138,18.1375229321027,"X4",NA,NA
"45","5",0.889971110931491,0.302469811233634,0.993096729891231,0.0757628153321911,"SB_mixedAge",-7.54851100078587,12.3979804817127,16.5364097729151,"X5",NA,NA
"46","6",0.570996758230488,0.681320169563588,0.763318346961155,0.506061450283814,"SB_mixedAge",-11.7541879910134,-2.26296231704685,5.19606807972948,"X6",NA,NA
"47","7",0.651312239747845,0.61207389399297,0.996113909364193,0.0646162823784216,"SB_mixedAge",-11.8212399945936,3.97510793942345,17.8649956724076,"X7",NA,NA
"48","8",0.770908672235938,0.53149463861256,0.996137688129811,0.0690109860456536,"SB_mixedAge",-7.85814651447627,11.3414398667405,16.4541202511075,"X8",NA,NA
"49","9",0.845271389751724,0.390833768120902,0.989279992430763,0.102873688932689,"SB_mixedAge",-10.9559001114967,6.07437071286903,16.2197015586506,"X9",NA,NA
"50","10",0.716147500016469,0.563463087160899,0.997008358923134,0.0578460691577203,"SB_mixedAge",-12.0991944810034,6.36620900818936,18.001267133682,"X10",NA,NA
"51","11",0.746671777689502,0.545655985948816,0.999083647459471,0.0328177218819567,"SB_mixedAge",-7.88143854780167,12.9967899755689,18.3185476079971,"X11",NA,NA
"52","12",0.469298913146564,0.805803838603915,0.966879438488259,0.201304363534059,"SB_mixedAge",-4.55627145212112,8.38769951067368,8.62186710270331,"X12",NA,NA
"53","13",0.25392681657875,0.947617425769309,0.999404387579903,0.0267746742641525,"SB_mixedAge",-3.48242388700224,14.0419112747827,15.6801842816422,"X13",NA,NA
"54","14",0.470004205828418,0.824929018359141,0.998497802931132,0.0439181284376284,"SB_mixedAge",-5.0353909636746,15.241238560454,12.7117207523632,"X14",NA,NA
"55",NA,0.7816,20535.5768,0.9876,4897.5844,"KRFC_ageStruc",-37.8904,-8.739,75.3412,"all",0.966066219296559,"Chinook Salmon"
"56",NA,0.5413,47429.4299,0.8323,28675.3756,"KRFC_Ntotal",-10.3436,-0.6702,6.8629,"all",0.499999826518018,"Chinook Salmon"
"57",NA,0.6135,42.2655,0.7704,32.5752,"SB_ageStruc",-149.9948,-130.3195,70.2641,"all",0.932033964071761,"Striped Bass"
"58",NA,0.4952,162.0105,0.7977,102.5662,"SB_Ntotal",-5.3119,4.9562,7.4892,"all",0.499999826518018,"Striped Bass"
