"","rowname","phi1","phi2","phi3","phi4","phi5","phi6","phi7","phi8","phi9","phi10","ve","sigma2","rho","tslength","approach","maxE","iter"
"66","N_total",0.0176225120150569,0,0.0151047778891706,1.53821457268024e-34,0.0280406546741457,5.52665775464411e-35,0,0.0100643818994785,0.013648012588591,0,0.01,3.22300638710505,0.499999826518018,100,"TAindex",10,14
"67","5yrs20ages",1.29726236768973,0.62522274343493,NA,NA,NA,NA,NA,NA,NA,NA,0.0303881619055695,1.15776449527304,0.993386066623961,5,"hier",2,14
"68","10yrs10ages",0.181491748994081,0.139936213815593,0,NA,NA,NA,NA,NA,NA,NA,0.01,2.74955982761574,0.979337120738343,10,"hier",3,14
"69","20yrs5ages",0.0989696775229491,0.0643102758504625,9.90191997958915e-11,0.15784407571418,NA,NA,NA,NA,NA,NA,0.01,2.14359699937667,0.995316197460419,20,"hier",4,14
"70","25yrs4ages",0.152083184733843,0.0120358360959638,0.0449394398055307,1.11533398197337e-16,2.52768299111453e-79,NA,NA,NA,NA,NA,0.01,2.94031229869756,0.99968818061001,25,"hier",5,14
"71","N_total",0.0174005224137529,0,0.0152556212607147,3.62964164510772e-06,0.0290119400077828,1.24389393636318e-06,0,0.0103068569242605,0.0138994165547804,0,0.01,3.19175052009014,0.499999826518018,100,"TAindex",10,15
"72","5yrs20ages",1.30627428751743,0.770050352526636,NA,NA,NA,NA,NA,NA,NA,NA,0.0299044808077454,1.11454025755636,0.994398241442622,5,"hier",2,15
"73","10yrs10ages",0.180097527512716,0.140766152379787,2.07115469816632e-50,NA,NA,NA,NA,NA,NA,NA,0.01,2.7358785193505,0.980233112727607,10,"hier",3,15
"74","20yrs5ages",0.105074309857447,0.0676860508144665,3.63223483933925e-106,0.147235565341611,NA,NA,NA,NA,NA,NA,0.01,2.09518041407431,0.995296741635089,20,"hier",4,15
"75","25yrs4ages",0.144456949326825,0.011031674859749,0.044797361591015,1.12892079929655e-08,2.065791855873e-33,NA,NA,NA,NA,NA,0.01,2.97664123065716,0.999683242973365,25,"hier",5,15
"76","N_total",0.0175388164609537,0,0.0146981821865673,6.78206146626882e-139,0.0261693940071947,0,0,0.012971116145086,0.0120261109007551,0,0.01,3.20924439344312,0.499999826518018,100,"TAindex",10,16
"77","5yrs20ages",1.19162479738912,0.996880158544927,NA,NA,NA,NA,NA,NA,NA,NA,0.0271880757247387,1.04280246203313,0.984637603348541,5,"hier",2,16
"78","10yrs10ages",0.141629142373576,0.0726404083521344,3.61201347242517e-37,NA,NA,NA,NA,NA,NA,NA,0.01,3.14681178834802,0.984823476989563,10,"hier",3,16
"79","20yrs5ages",0.113774003504987,0.0764226374042853,3.13456070063298e-52,0.125816937098255,NA,NA,NA,NA,NA,NA,0.01,2.17939271906654,0.997178562335081,20,"hier",4,16
"80","25yrs4ages",0.110395121969004,0.0230941807681915,0.00779044239917072,4.31214701966773e-27,0.0278576170068316,NA,NA,NA,NA,NA,0.01,2.82812510370065,0.999545116916987,25,"hier",5,16
"81","N_total",0.0176470603117747,0,0.0145349410209194,4.80193094667526e-12,0.0256407359240155,0,0,0.0135727767301321,0.0115425819451698,0,0.01,3.20175510211664,0.500000076493016,100,"TAindex",10,17
"82","5yrs20ages",1.23965323675687,0.76024228396613,NA,NA,NA,NA,NA,NA,NA,NA,0.029133980181203,1.05753409863722,0.993191851131679,5,"hier",2,17
"83","10yrs10ages",0.191318951221453,0.0933947793374343,3.52201444045462e-19,NA,NA,NA,NA,NA,NA,NA,0.01,2.86968322108028,0.987591960450053,10,"hier",3,17
"84","20yrs5ages",0.137413598473222,0.0888979947821912,9.40313589590841e-95,0.106990109685429,NA,NA,NA,NA,NA,NA,0.01,2.03948948018246,0.99773162219741,20,"hier",4,17
"85","25yrs4ages",0.115193919444301,0.0296729851330407,0.00230315110262817,4.20875911125141e-23,0.0303755151411088,NA,NA,NA,NA,NA,0.01,2.84386920072915,0.999567738036454,25,"hier",5,17
"86","N_total",0.0198183262584995,0,0.00608359295913129,0.0121559593226392,0.0165911604931388,5.18638657541762e-75,1.00245153567333e-269,0.0193794934446702,0.00832725460256251,0,0.01,3.17125066184783,0.499999826518018,100,"TAindex",10,18
"87","5yrs20ages",1.20586937674223,0.295879237986679,NA,NA,NA,NA,NA,NA,NA,NA,0.0257808098106753,1.16804478495924,0.977970066286887,5,"hier",2,18
"88","10yrs10ages",0.120053798192247,0.0760956806492278,0.000185949716623387,NA,NA,NA,NA,NA,NA,NA,0.01,3.22254773422343,0.988972507761094,10,"hier",3,18
"89","20yrs5ages",0.158507385989774,0.0954930877866592,4.37334901653694e-178,0.0785138498519741,NA,NA,NA,NA,NA,NA,0.01,2.30835043971595,0.998554314827601,20,"hier",4,18
"90","25yrs4ages",0.14969574796059,0.0497594832719438,2.69475223282619e-19,0,0.0187657907894963,NA,NA,NA,NA,NA,0.01,2.8901197055152,0.999609192253858,25,"hier",5,18
"91","N_total",0.0176742706768613,0,0.0145004895847801,2.36355962793103e-139,0.025792455304541,0,0,0.0135664533774442,0.0115846890797588,0,0.01,3.20364337953766,0.499999826518018,100,"TAindex",10,19
"92","5yrs20ages",1.22139953320722,0.803180021178888,NA,NA,NA,NA,NA,NA,NA,NA,0.0290556078522329,1.05297913373733,0.99334988395505,5,"hier",2,19
"93","10yrs10ages",0.193797411824283,0.0953922998267616,1.42288480172602e-10,NA,NA,NA,NA,NA,NA,NA,0.01,2.82089451882157,0.98767222051307,10,"hier",3,19
"94","20yrs5ages",0.136706974300183,0.0898249478348852,1.27090555215548e-156,0.107677851558589,NA,NA,NA,NA,NA,NA,0.01,2.02570286881068,0.997759137074011,20,"hier",4,19
"95","25yrs4ages",0.114397563795879,0.0296901712876674,0.00202511581625432,3.58990621556741e-11,0.0306860156780621,NA,NA,NA,NA,NA,0.01,2.84649771551035,0.999568545279411,25,"hier",5,19
"96","N_total",0.0190627730746562,0,0.013583749673224,2.74415814535822e-05,0.0230790393459808,0,0,0.017414094400278,0.00875428783752654,0,0.01,3.17941334192153,0.499999826518018,100,"TAindex",10,20
"97","5yrs20ages",1.3762898119343,0.589511439827145,NA,NA,NA,NA,NA,NA,NA,NA,0.0249351524951506,1.01332084241688,0.99202861505162,5,"hier",2,20
"98","10yrs10ages",0.122491804388761,0.06723142441255,3.6751661930139e-24,NA,NA,NA,NA,NA,NA,NA,0.01,3.34634794109623,0.990190216506077,10,"hier",3,20
"99","20yrs5ages",0.154278683248092,0.0933652309036707,6.09517842394542e-113,0.0722901713468049,NA,NA,NA,NA,NA,NA,0.01,2.44552076690259,0.998541837224105,20,"hier",4,20
"100","25yrs4ages",0.126435662404813,0.0371995703070589,0.00125457858017918,1.08061639881209e-182,0.0245329500386683,NA,NA,NA,NA,NA,0.01,2.95445118313634,0.999593359045955,25,"hier",5,20
"101","N_total",0.0190247608846909,0,0.00643421445313945,0.0115961775240196,0.018276179527384,3.01531921308503e-23,1.00955980626392e-117,0.0175286592572703,0.0100639275129256,0,0.01,3.18263565465446,0.500000076493016,100,"TAindex",10,21
"102","5yrs20ages",1.21064525955973,1.16814220675319,NA,NA,NA,NA,NA,NA,NA,NA,0.0297066551228822,1.05390221023354,0.992178833531809,5,"hier",2,21
"103","10yrs10ages",0.184461933009717,0.105961007357734,3.53939957670195e-57,NA,NA,NA,NA,NA,NA,NA,0.01,2.7426951617097,0.988049892457124,10,"hier",3,21
"104","20yrs5ages",0.12695846119658,0.095201015880623,2.28293041898733e-26,0.11595839585579,NA,NA,NA,NA,NA,NA,0.01,1.96471786960644,0.998009412913942,20,"hier",4,21
"105","25yrs4ages",0.110236291353384,0.0315425244677601,5.11046450174815e-12,8.94969838872973e-13,0.0312810494487189,NA,NA,NA,NA,NA,0.01,2.91368688011719,0.999591335066103,25,"hier",5,21
