"","rowname","iter","sim","approach","value"
"295","R2",50,"I","fit_all_stats",0.999999999975094
"296","R2",50,"I","fitsumStats",0.999805366099471
"297","R2",50,"I","fit_NT_stats",0.999655476980816
"298","rmse",50,"I","fit_all_stats",6.42154744617398e-06
"299","rmse",50,"I","fitsumStats",1.96651973534813e-06
"300","rmse",50,"I","fit_NT_stats",2.61636414190518e-06
"301","R2",51,"I","fit_all_stats",0.999725197506944
"302","R2",51,"I","fitsumStats",0.999508149412471
"303","R2",51,"I","fit_NT_stats",0.999357976575941
"304","rmse",51,"I","fit_all_stats",0.0280894842350016
"305","rmse",51,"I","fitsumStats",0.00649486177126508
"306","rmse",51,"I","fit_NT_stats",0.00742042452290008
"307","R2",52,"I","fit_all_stats",0.99979302693542
"308","R2",52,"I","fitsumStats",0.999472521456801
"309","R2",52,"I","fit_NT_stats",0.999409706539434
"310","rmse",52,"I","fit_all_stats",0.0228554925716008
"311","rmse",52,"I","fitsumStats",0.00578798348345224
"312","rmse",52,"I","fit_NT_stats",0.0061229240179573
"313","R2",53,"I","fit_all_stats",0.999491974090628
"314","R2",53,"I","fitsumStats",0.999734635904398
"315","R2",53,"I","fit_NT_stats",0.999568363321655
"316","rmse",53,"I","fit_all_stats",0.0459446239545398
"317","rmse",53,"I","fitsumStats",0.00657271569899433
"318","rmse",53,"I","fit_NT_stats",0.0083826809619089
"319","R2",54,"I","fit_all_stats",0.999534855373174
"320","R2",54,"I","fitsumStats",0.999808774898369
"321","R2",54,"I","fit_NT_stats",0.999685963712234
"322","rmse",54,"I","fit_all_stats",0.0448282156315866
"323","rmse",54,"I","fitsumStats",0.00590068652783947
"324","rmse",54,"I","fit_NT_stats",0.00756170987934917
"325","R2",55,"I","fit_all_stats",0.999504057096514
"326","R2",55,"I","fitsumStats",0.99971595857326
"327","R2",55,"I","fit_NT_stats",0.999644221808971
"328","rmse",55,"I","fit_all_stats",0.047750146811689
"329","rmse",55,"I","fitsumStats",0.00733901175656818
"330","rmse",55,"I","fit_NT_stats",0.0082136539570134
"331","R2",56,"I","fit_all_stats",0.999907766032894
"332","R2",56,"I","fitsumStats",0.999851764436944
"333","R2",56,"I","fit_NT_stats",0.999664668787729
"334","rmse",56,"I","fit_all_stats",0.0135381638757503
"335","rmse",56,"I","fitsumStats",0.00255169797966123
"336","rmse",56,"I","fit_NT_stats",0.00383786819527034
"337","R2",57,"I","fit_all_stats",0.999581842596205
"338","R2",57,"I","fitsumStats",0.999384625520997
"339","R2",57,"I","fit_NT_stats",0.999486427630643
"340","rmse",57,"I","fit_all_stats",0.0393659846866283
"341","rmse",57,"I","fitsumStats",0.00874832258637584
"342","rmse",57,"I","fit_NT_stats",0.00799200732853437
"343","R2",58,"I","fit_all_stats",0.999442606656803
"344","R2",58,"I","fitsumStats",0.998568850250719
"345","R2",58,"I","fit_NT_stats",0.99941246178219
"346","rmse",58,"I","fit_all_stats",0.0553306385323077
"347","rmse",58,"I","fitsumStats",0.0136835768392855
"348","rmse",58,"I","fit_NT_stats",0.0087674875260833
"349","R2",59,"I","fit_all_stats",0.999925573532458
"350","R2",59,"I","fitsumStats",0.999885213257743
"351","R2",59,"I","fit_NT_stats",0.9997065296145
"352","rmse",59,"I","fit_all_stats",0.0119424982558957
"353","rmse",59,"I","fitsumStats",0.00206371595006508
"354","rmse",59,"I","fit_NT_stats",0.00329978920026249
"355","R2",60,"I","fit_all_stats",0.999537572924605
"356","R2",60,"I","fitsumStats",0.999503279593971
"357","R2",60,"I","fit_NT_stats",0.999510013685619
"358","rmse",60,"I","fit_all_stats",0.0430372006062145
"359","rmse",60,"I","fitsumStats",0.00828219157493707
"360","rmse",60,"I","fit_NT_stats",0.00822585871746139
"361","R2",61,"I","fit_all_stats",0.999581637104579
"362","R2",61,"I","fitsumStats",0.999383581042404
"363","R2",61,"I","fit_NT_stats",0.999486008221547
"364","rmse",61,"I","fit_all_stats",0.0393774087693938
"365","rmse",61,"I","fitsumStats",0.00875412262001867
"366","rmse",61,"I","fit_NT_stats",0.00799378969329154
"367","R2",62,"I","fit_all_stats",0.999635806518648
"368","R2",62,"I","fitsumStats",0.999780144032601
"369","R2",62,"I","fit_NT_stats",0.999616851134308
"370","rmse",62,"I","fit_all_stats",0.0360131805112755
"371","rmse",62,"I","fitsumStats",0.0055641003324125
"372","rmse",62,"I","fit_NT_stats",0.00734530097497266
"373","R2",63,"I","fit_all_stats",0.999515670168986
"374","R2",63,"I","fitsumStats",0.999811227946618
"375","R2",63,"I","fit_NT_stats",0.999705606325102
"376","rmse",63,"I","fit_all_stats",0.0460077065423908
"377","rmse",63,"I","fitsumStats",0.00592184979628581
"378","rmse",63,"I","fit_NT_stats",0.00739524855205316
"379","R2",64,"I","fit_all_stats",0.999609852855982
"380","R2",64,"I","fitsumStats",0.999644684348776
"381","R2",64,"I","fit_NT_stats",0.999580584823755
"382","rmse",64,"I","fit_all_stats",0.0375626742001466
"383","rmse",64,"I","fitsumStats",0.00695480684691707
"384","rmse",64,"I","fit_NT_stats",0.00755613962739932
"385","R2",65,"I","fit_all_stats",0.999553769252339
"386","R2",65,"I","fitsumStats",0.999286324377469
"387","R2",65,"I","fit_NT_stats",0.999430591197433
"388","rmse",65,"I","fit_all_stats",0.0410759934304753
"389","rmse",65,"I","fitsumStats",0.00910977816952941
"390","rmse",65,"I","fit_NT_stats",0.00813709635590466
"391","R2",66,"I","fit_all_stats",0.999951632380772
"392","R2",66,"I","fitsumStats",0.999903126701755
"393","R2",66,"I","fit_NT_stats",0.99976223410078
"394","rmse",66,"I","fit_all_stats",0.00938290954510432
"395","rmse",66,"I","fitsumStats",0.00157777866553041
"396","rmse",66,"I","fit_NT_stats",0.00247183125781301
"397","R2",67,"I","fit_all_stats",0.999537562748033
"398","R2",67,"I","fitsumStats",0.999488818652545
"399","R2",67,"I","fit_NT_stats",0.999504958018665
"400","rmse",67,"I","fit_all_stats",0.0429905947374179
"401","rmse",67,"I","fitsumStats",0.00835560852265725
"402","rmse",67,"I","fit_NT_stats",0.00822264612519311
"403","R2",68,"I","fit_all_stats",0.999627053140864
"404","R2",68,"I","fitsumStats",0.99973418129663
"405","R2",68,"I","fit_NT_stats",0.999604556615391
"406","rmse",68,"I","fit_all_stats",0.036557955013129
"407","rmse",68,"I","fitsumStats",0.00608332280728734
"408","rmse",68,"I","fit_NT_stats",0.00741976673990183
"409","R2",69,"I","fit_all_stats",0.999589897918956
"410","R2",69,"I","fitsumStats",0.999481372166494
"411","R2",69,"I","fit_NT_stats",0.999529993010499
"412","rmse",69,"I","fit_all_stats",0.0387711570714917
"413","rmse",69,"I","fitsumStats",0.00821344309322338
"414","rmse",69,"I","fit_NT_stats",0.00781896916394018
"415","R2",70,"I","fit_all_stats",0.999607475374349
"416","R2",70,"I","fitsumStats",0.999630742821779
"417","R2",70,"I","fit_NT_stats",0.999577570578538
"418","rmse",70,"I","fit_all_stats",0.0377009206236082
"419","rmse",70,"I","fitsumStats",0.00707688610837271
