"","iter","mean_pairwisedist","sd_pairwisedist","mean_rho","sd_rho","sim"
"221","21",1,0,0.525,0,"III"
"222","22",1,0,0.525,0,"III"
"223","23",1,0,0.525,0,"III"
"224","24",1,0,0.525,0,"III"
"225","25",1,0,0.525,0,"III"
"226","26",1,0,0.525,0,"III"
"227","27",1,0,0.525,0,"III"
"228","28",1,0,0.525,0,"III"
"229","29",1,0,0.525,0,"III"
"230","30",1,0,0.525,0,"III"
"231","31",1,0,0.525,0,"III"
"232","32",1,0,0.525,0,"III"
"233","33",1,0,0.525,0,"III"
"234","34",1,0,0.525,0,"III"
"235","35",1,0,0.525,0,"III"
"236","36",1,0,0.525,0,"III"
"237","37",1,0,0.525,0,"III"
"238","38",1,0,0.525,0,"III"
"239","39",1,0,0.525,0,"III"
"240","40",1,0,0.525,0,"III"
"241","41",1,0,0.525,0,"III"
"242","42",1,0,0.525,0,"III"
"243","43",1,0,0.525,0,"III"
"244","44",1,0,0.525,0,"III"
"245","45",1,0,0.525,0,"III"
"246","46",1,0,0.525,0,"III"
"247","47",1,0,0.525,0,"III"
"248","48",1,0,0.525,0,"III"
"249","49",1,0,0.525,0,"III"
"250","50",1,0,0.525,0,"III"
"251","51",1,0,0.525,0,"III"
"252","52",1,0,0.525,0,"III"
"253","53",1,0,0.525,0,"III"
"254","54",1,0,0.525,0,"III"
"255","55",1,0,0.525,0,"III"
"256","56",1,0,0.525,0,"III"
"257","57",1,0,0.525,0,"III"
"258","58",1,0,0.525,0,"III"
"259","59",1,0,0.525,0,"III"
"260","60",1,0,0.525,0,"III"
"261","61",1,0,0.525,0,"III"
"262","62",1,0,0.525,0,"III"
"263","63",1,0,0.525,0,"III"
"264","64",1,0,0.525,0,"III"
"265","65",1,0,0.525,0,"III"
"266","66",1,0,0.525,0,"III"
"267","67",1,0,0.525,0,"III"
"268","68",1,0,0.525,0,"III"
"269","69",1,0,0.525,0,"III"
"270","70",1,0,0.525,0,"III"
"271","71",1,0,0.525,0,"III"
"272","72",1,0,0.525,0,"III"
"273","73",1,0,0.525,0,"III"
"274","74",1,0,0.525,0,"III"
"275","75",1,0,0.525,0,"III"
"276","76",1,0,0.525,0,"III"
"277","77",1,0,0.525,0,"III"
"278","78",1,0,0.525,0,"III"
"279","79",1,0,0.525,0,"III"
"280","80",1,0,0.525,0,"III"
"281","81",1,0,0.525,0,"III"
"282","82",1,0,0.525,0,"III"
"283","83",1,0,0.525,0,"III"
"284","84",1,0,0.525,0,"III"
"285","85",1,0,0.525,0,"III"
"286","86",1,0,0.525,0,"III"
"287","87",1,0,0.525,0,"III"
"288","88",1,0,0.525,0,"III"
"289","89",1,0,0.525,0,"III"
"290","90",1,0,0.525,0,"III"
"291","91",1,0,0.525,0,"III"
"292","92",1,0,0.525,0,"III"
"293","93",1,0,0.525,0,"III"
"294","94",1,0,0.525,0,"III"
"295","95",1,0,0.525,0,"III"
"296","96",1,0,0.525,0,"III"
"297","97",1,0,0.525,0,"III"
"298","98",1,7.20407827307146e-17,0.525,7.03844513774606e-17,"III"
"299","99",1,0,0.525,0,"III"
"300","100",1,0,0.525,0,"III"
