"","rowname","phi1","phi2","phi3","phi4","phi5","phi6","phi7","phi8","phi9","phi10","ve","sigma2","rho","tslength","approach","maxE","iter"
"12","5yrs20ages",0.645036436811555,0.488591877403295,NA,NA,NA,NA,NA,NA,NA,NA,0.124644321995645,1.07181834251791,0.975170907183371,5,"hier",2,3
"13","10yrs10ages",0.0277348221634646,0.00139663086459808,0.578366235586436,NA,NA,NA,NA,NA,NA,NA,0.01,2.86013031427177,0.987035511309974,10,"hier",3,3
"14","20yrs5ages",0.048780651281741,0.0490302920451953,0.360239837607464,4.59775138097311e-249,NA,NA,NA,NA,NA,NA,0.01,1.90158590065094,0.998877716025613,20,"hier",4,3
"15","25yrs4ages",4.65024239785092e-39,0.0928324523803917,0.0857433621783204,0.0837516603704518,0,NA,NA,NA,NA,NA,0.01,1.4550031155672,0.992417144807966,25,"hier",5,3
"16","N_total",0.0925872379269168,0,0.175274984734692,0,4.59775138097311e-249,0.0304861526837474,4.59775138097311e-249,0,0,2.81681902140674e-62,0.01,1.63922906467606,0.500000076493016,100,"TAindex",10,4
"17","5yrs20ages",0.633122286473871,0.550613814114973,NA,NA,NA,NA,NA,NA,NA,NA,0.140292513977007,1.04573215702954,0.976539359327652,5,"hier",2,4
"18","10yrs10ages",0.0310102011058214,0.0018046984235113,0.919917900905774,NA,NA,NA,NA,NA,NA,NA,0.01,1.93755179796805,0.984708906786414,10,"hier",3,4
"19","20yrs5ages",0.161722094757033,0.048662551545518,0.428632268587367,0.0097488681809674,NA,NA,NA,NA,NA,NA,0.01,1.15458281178884,0.998580293431108,20,"hier",4,4
"20","25yrs4ages",0.00583145383531093,0.0174336241521128,0.334926400721734,0.0562633459801929,0,NA,NA,NA,NA,NA,0.01,1.6613623875138,0.991449927963077,25,"hier",5,4
"21","N_total",0.0961956791341505,0,0.186061569621422,0,2.38379870040001e-227,0.0294269551381179,2.38379870040001e-227,0,0,1.37693264811046e-11,0.01,1.57624352780065,0.499999826518018,100,"TAindex",10,5
"22","5yrs20ages",0.704056618904553,0.468512649235504,NA,NA,NA,NA,NA,NA,NA,NA,0.109243723444993,1.13899529453354,0.977189394730184,5,"hier",2,5
"23","10yrs10ages",0.0368918245916728,0.00152189896930482,0.531777162393236,NA,NA,NA,NA,NA,NA,NA,0.01,3.20471989193671,0.98693265347731,10,"hier",3,5
"24","20yrs5ages",0,0.0590290885478725,0.793441159257657,0.12819202987684,NA,NA,NA,NA,NA,NA,0.01,0.928084729556388,0.998733058971561,20,"hier",4,5
"25","25yrs4ages",0.00658143226170258,0.0176597948012352,0.534279433735779,0.0645716069942889,0,NA,NA,NA,NA,NA,0.01,1.40018575676976,0.991106016454404,25,"hier",5,5
"26","N_total",0.100055578208206,1.72734147532588e-303,0.196087584563497,1.72734147532588e-303,1.25979680706037e-99,0.0274001270354892,1.72734147532588e-303,1.72734147532588e-303,1.72734147532588e-303,3.32358131896775e-19,0.01,1.5399605584683,0.499999826518018,100,"TAindex",10,6
"27","5yrs20ages",0.806477916519349,0.52343524997888,NA,NA,NA,NA,NA,NA,NA,NA,0.14249887309564,1.02063013002532,0.977553650952432,5,"hier",2,6
"28","10yrs10ages",0.0470535787000035,0.00095103916678495,0.738997646586682,NA,NA,NA,NA,NA,NA,NA,0.01,1.87144059844334,0.978434444078518,10,"hier",3,6
"29","20yrs5ages",0,0.0833916132637632,0.47591207598502,0.00704317365673225,NA,NA,NA,NA,NA,NA,0.01,1.53684963318635,0.996981161245345,20,"hier",4,6
"30","25yrs4ages",0.00131233172899439,0.0516635025078286,0.472914724871226,0.0885498721997617,0,NA,NA,NA,NA,NA,0.01,1.11155805577416,0.995575726030048,25,"hier",5,6
"31","N_total",0.0944491663245102,1.24817241893004e-216,0.179571471186978,1.24817241893004e-216,4.71022102939469e-50,0.0313279883340042,4.71022102939469e-50,1.24817241893004e-216,1.24817241893004e-216,9.9017438514848e-11,0.01,1.60780801056998,0.499999826518018,100,"TAindex",10,7
"32","5yrs20ages",0.599801916012943,0.518009403035183,NA,NA,NA,NA,NA,NA,NA,NA,0.130308103431858,1.08167990524857,0.977549528822149,5,"hier",2,7
