"","index","recnoise1","recnoise2","meanpeaks","varprey","meanPeriod","sdperiod"
"302","302",0.0461556387838041,0.408313252332085,1.35,1635.99571656857,7.56995437321469,1.42635808530024
"303","303",NA,NA,NA,NA,NA,NA
"304","304",NA,NA,NA,NA,NA,NA
"305","305",0.630510939933446,-0.663085120910382,0.2,13963.3804922073,30.8133333333333,0.544445637902976
"306","306",0.743798629336302,0.0697322952058139,0.2,17033.3151680224,29.6,0
"307","307",-0.293935117112617,0.0322408693966692,1.3,982.529189550204,6.38163851038191,0.101831787977286
"308","308",0.0684810001475764,-2.08841461060907,0.4,5244.10604737135,20.4201388888889,0.0339833670089987
"309","309",NA,NA,NA,NA,NA,NA
"310","310",NA,NA,NA,NA,NA,NA
"311","311",NA,NA,NA,NA,NA,NA
"312","312",0.835625981063624,0.582424347238468,0.35,12965.1632390146,29.56,0.123117402250219
"313","313",NA,NA,NA,NA,NA,NA
"314","314",0.0591012439026605,-0.757973543778637,0.9,1098.59833292002,8.85909090909091,0.00305300224663355
"315","315",NA,NA,NA,NA,NA,NA
"316","316",0.0923608145492629,-0.370437212664532,1,1767.30232314252,8,0
"317","317",0.387598648063271,-0.152913772788891,0.95,2894.70563994648,8.36501976284585,0.017074241632246
"318","318",1.03891795431978,-1.12759751002757,0.1,27041.7326471155,40.1791666666667,1.18262117191318
"319","319",-1.49022953340793,-0.663925870093048,0.5,304.200569105298,28.55,0.0783603909969384
"320","320",-0.0280387995566537,-0.403042839184909,1.1,1348.98423555105,7.54761538461538,0.0186526878892458
"321","321",1.31767272785966,-0.808666025625914,0.15,53238.720379089,64.2666666666667,2.3485717944496
"322","322",NA,NA,NA,NA,NA,NA
"323","323",-0.174146636902336,-0.854292675772569,0.95,906.423400754205,8.59416996047431,0.0155252416323459
"324","324",NA,NA,NA,NA,NA,NA
"325","325",NA,NA,NA,NA,NA,NA
"326","326",0.81925480482483,1.29779816916791,0.9,10835.2828310447,34.8440593434343,21.7852584285208
"327","327",0.510636151931415,0.0888194036464347,1.1,3711.81959561348,7,0
"328","328",1.04157650223995,-0.272539669107384,0.55,30952.9091125069,32.4875,1.62155505286551
"329","329",-1.29652176722701,-2.35960546033928,0.3,586.086264384405,14.0448717948718,0.331524731140891
"330","330",NA,NA,NA,NA,NA,NA
"331","331",NA,NA,NA,NA,NA,NA
"332","332",0.16361726737245,0.284523274586399,1.35,2111.25909930922,6.38401253918495,0.486674359516313
"333","333",NA,NA,NA,NA,NA,NA
"334","334",NA,NA,NA,NA,NA,NA
"335","335",-0.118061770251617,0.33039115463578,0.75,1107.42091935718,10.6167020086467,3.51005281697593
"336","336",0.493564541010351,0.427641566734647,1.2,3911.33262602501,6.62900246305419,0.0177922075771541
"337","337",1.89245137169643,-0.0267811178868196,0.1,90078.1570891817,25,0
