"","rowname","phi1","phi2","phi3","phi4","phi5","phi6","phi7","phi8","phi9","phi10","ve","sigma2","rho","tslength","approach","maxE","iter"
"120","25yrs4ages",0.302933594587644,0.00446485982591801,0.00417953225378458,0.0641209312755577,6.26606768094984e-109,NA,NA,NA,NA,NA,0.01,3.05858863205892,0.999545714857473,25,"hier",5,24
"121","N_total",0.113169617578172,0.304473520943623,2.63987658328576e-37,2.63987658328576e-37,2.63987658328576e-37,2.63987658328576e-37,2.63987658328576e-37,2.63987658328576e-37,2.63987658328576e-37,2.63987658328576e-37,0.01,2.98227214647551,0.500000076493016,100,"TAindex",10,25
"122","5yrs20ages",1.76005558137266,0.44139202508095,NA,NA,NA,NA,NA,NA,NA,NA,0.0441628041174166,1.6483462716622,0.993993022464188,5,"hier",2,25
"123","10yrs10ages",0.781292158876318,0.108533684624368,0.117476312793687,NA,NA,NA,NA,NA,NA,NA,0.01,2.11268037606632,0.975095109291887,10,"hier",3,25
"124","20yrs5ages",0.362400439516254,0.0013875513651313,0.0247073215290317,0.634815719640035,NA,NA,NA,NA,NA,NA,0.01,2.03752978175283,0.969685222285215,20,"hier",4,25
"125","25yrs4ages",0.306392156402012,0.00359415171727734,0.00350742723219669,0.0656127391231482,8.35142435120964e-82,NA,NA,NA,NA,NA,0.01,3.00874742897448,0.999523781948803,25,"hier",5,25
"126","N_total",0.113241189749603,0.294683626207539,2.30363310093958e-63,2.30363310093958e-63,2.30363310093958e-63,2.30363310093958e-63,2.30363310093958e-63,2.30363310093958e-63,2.30363310093958e-63,2.30363310093958e-63,0.01,2.97060700628555,0.499999826518018,100,"TAindex",10,26
"127","5yrs20ages",1.7425856044554,0.454104158842006,NA,NA,NA,NA,NA,NA,NA,NA,0.0454853311874737,1.60001687623573,0.993410005510937,5,"hier",2,26
"128","10yrs10ages",0.73656351435263,0.107933439561331,0.115085117442059,NA,NA,NA,NA,NA,NA,NA,0.01,2.13347492473735,0.975408601323618,10,"hier",3,26
"129","20yrs5ages",0.37769873256221,0.00156544168609327,0.0266639522576105,0.58918309630838,NA,NA,NA,NA,NA,NA,0.01,2.08856578508741,0.974024197835213,20,"hier",4,26
"130","25yrs4ages",0.304107110064448,0.00454521337290131,0.00425041185628443,0.064037118007338,8.55984538432552e-295,NA,NA,NA,NA,NA,0.01,3.04783353683862,0.999545694332707,25,"hier",5,26
"131","N_total",0.110400588257976,0.300803061707627,1.24817241893004e-216,1.24817241893004e-216,1.24817241893004e-216,1.24817241893004e-216,1.24817241893004e-216,1.24817241893004e-216,1.24817241893004e-216,1.24817241893004e-216,0.01,3.00132424987762,0.499999826518018,100,"TAindex",10,27
"132","5yrs20ages",1.77229062128095,0.472998112452987,NA,NA,NA,NA,NA,NA,NA,NA,0.0427737669701171,1.65386569041735,0.993175651650497,5,"hier",2,27
"133","10yrs10ages",0.735064530365397,0.108182826388614,0.114633062225199,NA,NA,NA,NA,NA,NA,NA,0.01,2.13457410230554,0.975565497069062,10,"hier",3,27
"134","20yrs5ages",0.367933258394703,0.00186025881655836,0.0274572683800772,0.641783725930118,NA,NA,NA,NA,NA,NA,0.01,1.98685036194854,0.972972403683647,20,"hier",4,27
"135","25yrs4ages",0.300514696966446,0.00431771690152882,0.00377443392002005,0.0644830101825484,7.72217550119112e-304,NA,NA,NA,NA,NA,0.01,3.00613414091465,0.999532841959444,25,"hier",5,27
"136","N_total",0.116610580076537,0.289795744638426,1.16133125876329e-14,9.80542730210157e-76,9.80542730210157e-76,9.80542730210157e-76,9.80542730210157e-76,9.80542730210157e-76,9.80542730210157e-76,9.80542730210157e-76,0.01,2.93917312309533,0.500000076493016,100,"TAindex",10,28
"137","5yrs20ages",1.73057581288686,0.457288755561771,NA,NA,NA,NA,NA,NA,NA,NA,0.0469738495387631,1.55118186153105,0.993372662918546,5,"hier",2,28
