"","age1 (t+0)","age2 (t+1)","age3(t+2)","age4 (t+3)","age5 (t+4)","age6 (t+5)","age7 (t+6)","age8 (t+7)","age9 (t+8)","age10 (t+9)","age11 (t+10)","age12 (t+11)","age13 (t+12)","age14 (t+13)","age15 (t+14)","age16 (t+15)","age17 (t+16)","age18 (t+17)","age19 (t+18)","age20 (t+19)","sim"
"age4 (t+3)...24",0.971002665299918,0.990723716770088,0.997944728433902,1,0.996960353340242,0.986122393178258,0.968118970816709,0.950972667773141,0.94396605378688,0.944936860592125,0.951109539984385,0.962412849238049,0.977572883768326,0.988128755673943,0.9871928170718,0.981963385125271,0.976655480253635,0.971692135678682,0.965733140998446,0.958797028014933,"II"
"age5 (t+4)...25",0.968604646889184,0.983605177142603,0.990902704570056,0.996960353340242,1,0.995732122692553,0.982719214387707,0.966252369033346,0.954279707632256,0.947705924070811,0.948024837165626,0.957133943322311,0.973262346008193,0.986627590056127,0.989796350818367,0.988258153000312,0.98444738405112,0.978729173358022,0.970945269870565,0.962231705361396,"II"
"age6 (t+5)...26",0.965091537617505,0.971923000718074,0.976920095877581,0.986122393178258,0.995732122692553,1,0.995071343789151,0.982262240822614,0.966705582195309,0.952102285162231,0.945109045170839,0.950296226942171,0.965374164557592,0.979400302159541,0.985655364164078,0.988257196740613,0.987254542286431,0.982238864364574,0.973975018347112,0.96461415801282,"II"
"age7 (t+6)...27",0.960542095084068,0.957046744203919,0.957658207447715,0.968118970816709,0.982719214387707,0.995071343789151,1,0.994736549024999,0.979428669138092,0.958370779718527,0.943279760074141,0.942353996971979,0.953549449478122,0.965427620081126,0.973199762530195,0.980275243690905,0.983883760736277,0.98158815306556,0.974286640739086,0.965060889303111,"II"
"age8 (t+7)...28",0.960902967128176,0.947758005386621,0.942473502462048,0.950972667773141,0.966252369033346,0.982262240822614,0.994736549024999,1,0.992536376508686,0.971483146509132,0.950335336715424,0.94143873756392,0.944912807881109,0.950137974389079,0.955602529534582,0.965712515932669,0.975972729721757,0.980341832142489,0.977314033199019,0.969692023167153,"II"
"age9 (t+8)...29",0.970274939779153,0.952034248695585,0.940861739823776,0.94396605378688,0.954279707632256,0.966705582195309,0.979428669138092,0.992536376508686,1,0.990702878968755,0.971033133201855,0.955613891992556,0.948718789116189,0.942760015267032,0.940254571727345,0.947958175212569,0.962710833793188,0.976598706075398,0.983354736430461,0.981974674135256,"II"
"age10 (t+9)...30",0.981300965745237,0.963444692696159,0.94811580069643,0.944936860592125,0.947705924070811,0.952102285162231,0.958370779718527,0.971483146509132,0.990702878968755,1,0.992181948771717,0.977080551162349,0.962492566983662,0.945404524693561,0.932511365972283,0.932548620883884,0.944659836912293,0.962712918419403,0.978856406037419,0.987783838158807,"II"
"age11 (t+10)...31",0.989184394108218,0.975261601894059,0.958486261025216,0.951109539984385,0.948024837165626,0.945109045170839,0.943279760074141,0.950335336715424,0.971033133201855,0.992181948771717,1,0.993890674429273,0.979423297043525,0.956951963986558,0.936647223169243,0.92862325555101,0.933594123571918,0.947827338132413,0.965025618174751,0.97962004205866,"II"
"age12 (t+11)...32",0.993554030662259,0.98543291185327,0.970442429429099,0.962412849238049,0.957133943322311,0.950296226942171,0.942353996971979,0.94143873756392,0.955613891992556,0.977080551162349,0.993890674429273,1,0.99378107269072,0.974431042160337,0.952751994717027,0.939768280767436,0.937336955451972,0.944031799923517,0.95587167735066,0.968827241678493,"II"
"age13 (t+12)...33",0.991757472394475,0.991709969075784,0.982656022639617,0.977572883768326,0.973262346008193,0.965374164557592,0.953549449478122,0.944912807881109,0.948718789116189,0.962492566983662,0.979423297043525,0.99378107269072,1,0.992114657087951,0.975895445861612,0.962061646856732,0.953754829580412,0.95183279202254,0.954958264832222,0.96145275230098,"II"
"age14 (t+13)...34",0.979087980845852,0.987839545017014,0.987808712286667,0.988128755673943,0.986627590056127,0.979400302159541,0.965427620081126,0.950137974389079,0.942760015267032,0.945404524693561,0.956951963986558,0.974431042160337,0.992114657087951,1,0.994609382099069,0.983790024217863,0.971544519690083,0.961018925337744,0.953997318015507,0.951672665630915,"II"
"age15 (t+14)...35",0.963238824210445,0.975441006651352,0.981611577495655,0.9871928170718,0.989796350818367,0.985655364164078,0.973199762530195,0.955602529534582,0.940254571727345,0.932511365972283,0.936647223169243,0.952751994717027,0.975895445861612,0.994609382099069,1,0.995729225100389,0.983887457889946,0.96797131898615,0.952571250355182,0.942086075652047,"II"
"age16 (t+15)...36",0.954781474864694,0.965679714359903,0.973380375400416,0.981963385125271,0.988258153000312,0.988257196740613,0.980275243690905,0.965712515932669,0.947958175212569,0.932548620883884,0.92862325555101,0.939768280767436,0.962061646856732,0.983790024217863,0.995729225100389,1,0.994658401854512,0.979487546591123,0.9596768474244,0.942450324131595,"II"
"age17 (t+16)...37",0.95469931676467,0.962273039515439,0.968058838948094,0.976655480253635,0.98444738405112,0.987254542286431,0.983883760736277,0.975972729721757,0.962710833793188,0.944659836912293,0.933594123571918,0.937336955451972,0.953754829580412,0.971544519690083,0.983887457889946,0.994658401854512,1,0.993340381246857,0.975639895307076,0.954857563291758,"II"
"age18 (t+17)...38",0.960251302174405,0.963691496970928,0.965438806201234,0.971692135678682,0.978729173358022,0.982238864364574,0.98158815306556,0.980341832142489,0.976598706075398,0.962712918419403,0.947827338132413,0.944031799923517,0.95183279202254,0.961018925337744,0.96797131898615,0.979487546591123,0.993340381246857,1,0.992676218624349,0.974922476705248,"II"
"age19 (t+18)...39",0.967532250232938,0.966143348329947,0.962852997032949,0.965733140998446,0.970945269870565,0.973975018347112,0.974286640739086,0.977314033199019,0.983354736430461,0.978856406037419,0.965025618174751,0.95587167735066,0.954958264832222,0.953997318015507,0.952571250355182,0.9596768474244,0.975639895307076,0.992676218624349,1,0.992985164955827,"II"
"age20 (t+19)...40",0.974392941753809,0.967495080714936,0.959110025417438,0.958797028014933,0.962231705361396,0.96461415801282,0.965060889303111,0.969692023167153,0.981974674135256,0.987783838158807,0.97962004205866,0.968827241678493,0.96145275230098,0.951672665630915,0.942086075652047,0.942450324131595,0.954857563291758,0.974922476705248,0.992985164955827,1,"II"
"age1 (t+0)...41",1,0.997437729145247,0.991800697244093,0.989022778825996,0.990893416310348,0.995302233313161,0.997005559749776,0.996845854687179,0.992448985898127,0.987215110969205,0.987221654283605,0.99175291456655,0.993233874959403,0.993924164036089,0.993888772826765,0.988997506919731,0.985480177308419,0.988464878809557,0.993697426207094,0.994040983959304,"III"
"age2 (t+1)...42",0.997437729145247,1,0.998051737964226,0.996052810885175,0.995409248520787,0.994234602685212,0.993584925977248,0.996724750164851,0.997083523214274,0.994401651599608,0.993550671781904,0.992915037419832,0.988511510808008,0.989268097020965,0.99416490921345,0.994121492600316,0.992210068003147,0.992923751151086,0.991540626418873,0.98791953727806,"III"
"age3(t+2)...43",0.991800697244093,0.998051737964226,1,0.999402170070201,0.99746266583208,0.991997599231936,0.98833197842594,0.993143890491881,0.99742307696448,0.997484235285497,0.996631305600921,0.992555825269103,0.983101698979211,0.982805278292255,0.99101537176835,0.995256137467733,0.995127500642455,0.994421966047598,0.988207447512765,0.980661638186935,"III"
"age4 (t+3)...44",0.989022778825996,0.996052810885175,0.999402170070201,1,0.998589411144721,0.992066401903934,0.987027243279888,0.991789637461845,0.996902476815132,0.9978250614549,0.997508491035398,0.993096949197616,0.982214731307248,0.98122323117557,0.989919092983773,0.994951404639207,0.995218666583007,0.994348927808701,0.987110995044791,0.978513578686812,"III"
"age5 (t+4)...45",0.990893416310348,0.995409248520787,0.99746266583208,0.998589411144721,1,0.996392995216742,0.991365889600129,0.994060365402597,0.996822071404532,0.996525756255783,0.997212644192539,0.996218648855061,0.987704049501652,0.986047391911451,0.992067043934351,0.994369743861653,0.993499313704578,0.994049267207569,0.99022211097523,0.983206052696909,"III"
"age6 (t+5)...46",0.995302233313161,0.994234602685212,0.991997599231936,0.992066401903934,0.996392995216742,1,0.998166884119884,0.997314623556365,0.994567322178002,0.99105703693506,0.992316767497405,0.997121500556236,0.995607355517995,0.993921523831641,0.994190882166703,0.990569960383883,0.987414628237929,0.99019086245225,0.993769313014902,0.991350013060109,"III"
"age7 (t+6)...47",0.997005559749776,0.993584925977248,0.98833197842594,0.987027243279888,0.991365889600129,0.998166884119884,1,0.99857453908781,0.992932201994984,0.987254468699458,0.988007978941798,0.994561887653444,0.997174869481673,0.996904896532008,0.994745664736734,0.987843977953104,0.983226469394598,0.986451141112859,0.993177130704114,0.993943302666042,"III"
"age8 (t+7)...48",0.996845854687179,0.996724750164851,0.993143890491881,0.991789637461845,0.994060365402597,0.997314623556365,0.99857453908781,1,0.997365362205203,0.992964457100511,0.992797588963394,0.995695093715627,0.994941717003563,0.995558743643828,0.996978099670137,0.992894449812758,0.989003439968662,0.990473834045407,0.992758739472949,0.991520586053911,"III"
"age9 (t+8)...49",0.992448985898127,0.997083523214274,0.99742307696448,0.996902476815132,0.996822071404532,0.994567322178002,0.992932201994984,0.997365362205203,1,0.998752309613512,0.998052797551438,0.996021326733977,0.989118997659943,0.98918647959747,0.99553270455669,0.997055250157932,0.995282233473187,0.994779855743424,0.990515744510129,0.984589769321229,"III"
"age10 (t+9)...50",0.987215110969205,0.994401651599608,0.997484235285497,0.9978250614549,0.996525756255783,0.99105703693506,0.987254468699458,0.992964457100511,0.998752309613512,1,0.999468862426014,0.994830456247023,0.984217676008813,0.983400152931517,0.992143965502345,0.997176737374359,0.997191577643567,0.995816783666659,0.98797817645315,0.978899295507082,"III"
"age11 (t+10)...51",0.987221654283605,0.993550671781904,0.996631305600921,0.997508491035398,0.997212644192539,0.992316767497405,0.988007978941798,0.992797588963394,0.998052797551438,0.999468862426014,1,0.996863252091939,0.986810521942122,0.985394469728618,0.993105826829082,0.997471798744587,0.997528246984205,0.996966749421521,0.990397748941236,0.981481225582067,"III"
"age12 (t+11)...52",0.99175291456655,0.992915037419832,0.992555825269103,0.993096949197616,0.996218648855061,0.997121500556236,0.994561887653444,0.995695093715627,0.996021326733977,0.994830456247023,0.996863252091939,1,0.995936097852834,0.994133442571989,0.996528598044449,0.995541364610369,0.993620920489872,0.995681214538192,0.996259490463337,0.991327070900855,"III"
"age13 (t+12)...53",0.993233874959403,0.988511510808008,0.983101698979211,0.982214731307248,0.987704049501652,0.995607355517995,0.997174869481673,0.994941717003563,0.989118997659943,0.984217676008813,0.986810521942122,0.995936097852834,1,0.999148904084093,0.995641011087974,0.988020944302714,0.98350010241963,0.987777634222603,0.996326011245934,0.997177707808827,"III"
"age14 (t+13)...54",0.993924164036089,0.989268097020965,0.982805278292255,0.98122323117557,0.986047391911451,0.993921523831641,0.996904896532008,0.995558743643828,0.98918647959747,0.983400152931517,0.985394469728618,0.994133442571989,0.999148904084093,1,0.997044933248805,0.988486481503317,0.98316308335887,0.986898418763898,0.995390153513701,0.997674919033102,"III"
"age15 (t+14)...55",0.993888772826765,0.99416490921345,0.99101537176835,0.989919092983773,0.992067043934351,0.994190882166703,0.994745664736734,0.996978099670137,0.99553270455669,0.992143965502345,0.993105826829082,0.996528598044449,0.995641011087974,0.997044933248805,1,0.996627679813673,0.992842663297168,0.994168295198351,0.995698803332273,0.994095966177038,"III"
"age16 (t+15)...56",0.988997506919731,0.994121492600316,0.995256137467733,0.994951404639207,0.994369743861653,0.990569960383883,0.987843977953104,0.992894449812758,0.997055250157932,0.997176737374359,0.997471798744587,0.995541364610369,0.988020944302714,0.988486481503317,0.996627679813673,1,0.999036792142284,0.998459381603727,0.993003913621993,0.985947614382246,"III"
"age17 (t+16)...57",0.985480177308419,0.992210068003147,0.995127500642455,0.995218666583007,0.993499313704578,0.987414628237929,0.983226469394598,0.989003439968662,0.995282233473187,0.997191577643567,0.997528246984205,0.993620920489872,0.98350010241963,0.98316308335887,0.992842663297168,0.999036792142284,1,0.999163760684559,0.991260819561967,0.981727919213045,"III"
"age18 (t+17)...58",0.988464878809557,0.992923751151086,0.994421966047598,0.994348927808701,0.994049267207569,0.99019086245225,0.986451141112859,0.990473834045407,0.994779855743424,0.995816783666659,0.996966749421521,0.995681214538192,0.987777634222603,0.986898418763898,0.994168295198351,0.998459381603727,0.999163760684559,1,0.995295441783736,0.987013542383845,"III"
"age19 (t+18)...59",0.993697426207094,0.991540626418873,0.988207447512765,0.987110995044791,0.99022211097523,0.993769313014902,0.993177130704114,0.992758739472949,0.990515744510129,0.98797817645315,0.990397748941236,0.996259490463337,0.996326011245934,0.995390153513701,0.995698803332273,0.993003913621993,0.991260819561967,0.995295441783736,1,0.997379639386195,"III"
"age20 (t+19)...60",0.994040983959304,0.98791953727806,0.980661638186935,0.978513578686812,0.983206052696909,0.991350013060109,0.993943302666042,0.991520586053911,0.984589769321229,0.978899295507082,0.981481225582067,0.991327070900855,0.997177707808827,0.997674919033102,0.994095966177038,0.985947614382246,0.981727919213045,0.987013542383845,0.997379639386195,1,"III"
