"","model","R2","age","age_class","OOS_R2","OOS_rmse","rmse","ln_post","lnL_LOO","df","age class","rho","species"
"44","SB_mixedAge",0.95329844638549,"3",NA,0.796217043526565,0.186836396122525,0.0894423531269301,6.95081747536959,25.8752876942267,11.0482963351125,"3",NA,NA
"45","SB_mixedAge",0.963704927445765,"4",NA,0.681836620056409,0.274580987357576,0.0927404504514976,4.20048841175485,21.004998678117,12.5215176928081,"4",NA,NA
"46","SB_mixedAge",0.990665739849722,"5",NA,0.835645397168788,0.174496324898872,0.0415848653292165,7.22001205312157,28.0092450873423,15.6419788796439,"5",NA,NA
"47","SB_mixedAge",0.952283226834246,"6",NA,0.805684585727057,0.315290040235262,0.156239974356312,-2.48000208474005,13.3679326334047,11.4176699592747,"6",NA,NA
"48","SB_mixedAge",0.949583827126216,"7",NA,0.637964039003324,0.458407514721569,0.171064861616909,-7.72051415815241,7.04472450737389,13.0673971911913,"7",NA,NA
"49","SB_mixedAge",0.982802778999253,"8",NA,0.826507565071909,0.35200223476647,0.11082411854333,-4.36022453296125,13.1676852910252,14.2128477048227,"8",NA,NA
"50","SB_mixedAge",0.998527019072797,"9",NA,0.951226502511057,0.179922017281722,0.0312673391062994,-1.16107940541104,25.913838867499,17.5647069362483,"9",NA,NA
"51","SB_mixedAge",0.920524484335961,"10",NA,0.597352934257399,0.584223525850042,0.259557420438439,-10.5992831633688,1.18955063470181,11.6597294589755,"10",NA,NA
"52","SB_mixedAge",0.917793428830778,"11",NA,0.528575579172011,0.680868713069734,0.284322092793894,-13.4472263035421,-1.68046293945683,12.1494713904068,"11",NA,NA
"53","SB_mixedAge",0.958352814134181,"12",NA,0.689913328976831,0.56676171822698,0.207707313940042,-9.6950189869985,4.80476125396428,12.0349386954789,"12",NA,NA
"54","SB_mixedAge",0.997049515513424,"13",NA,0.297514496721926,0.90594288468667,0.0587122606750935,-10.8939773288369,3.65364448483459,17.5115998817043,"13",NA,NA
"55","SB_mixedAge",0.997555581053713,"14",NA,0.461100856000395,0.829929166080563,0.0558952754818838,-4.86206552371953,13.5256581917929,12.7687227474087,"14",NA,NA
"56","KRFC_ageStruc",0.957,"all",NA,0.7968,0.7274,0.3345,-42.9608,-28.0313,52.831,"all",0.897591196276033,"Chinook Salmon"
"57","KRFC_Ntotal",0.9488,"all",NA,0.5922,0.3665,0.1299,-12.0852,1.0575,15.9329,"all",0.499999826518018,"Chinook Salmon"
"58","SB_ageStruc",0.8477,"all",NA,0.8083,0.761,0.6782,-84.0385,-64.993,41.5071,"all",0.972702130030542,"Striped Bass"
"59","SB_Ntotal",0.6606,"all",NA,0.6082,0.357,0.3323,22.716,35.4413,2.7926,"all",0.500000076493016,"Striped Bass"
